Company,Symbol,companyLow,charLength,companyFinal
1800 Flowers ,FLWS,1800 flowers ,2,1800 flowers
1347 Property Insurance Holdings ,PIH,1347 property insurance holdings ,4,1347 property insurance
180 Degree Capital Corp,TURN,180 degree capital corp,4,180 degree capital
1st Century Bancshares ,FCTY,1st century bancshares ,3,1st century bancshares
1st Constitution Bancorp,FCCY,1st constitution bancorp,3,1st constitution bancorp
1st Source Corporation,SRCE,1st source corporation,3,1st source corporation
1st United Bancorp  (Florida),FUBC,1st united bancorp  (florida),4,1st united bancorp
21 Vianet Group ,VNET,21 vianet group ,3,21 vianet group
2U ,TWOU,2u ,1,2u
3SBio ,SSRX,3sbio ,1,3sbio
51job  (ADR),JOBS,51job  (adr),2,51job (adr)
8Point3 Energy Partners LP,CAFD,8point3 energy partners lp,4,8point3 energy partners
8x8 ,EGHT,8x8 ,1,8x8
A C MOORE ARTS & CRAFTS,ACMR,a c moore arts & crafts,6,a c moore
A Schulman ,SHLM,a schulman ,2,a schulman
AMark Precious Metals ,AMRK,amark precious metals ,3,amark precious metals
AAON ,AAON,aaon ,1,aaon
ABIOMED ,ABMD,abiomed ,1,abiomed
AC Immune ,ACIU,ac immune ,2,ac immune
ACADIA Pharmaceuticals ,ACAD,acadia pharmaceuticals ,2,acadia pharmaceuticals
ACI Worldwide ,ACIW,aci worldwide ,2,aci worldwide
ACNB Corporation,ACNB,acnb corporation,2,acnb corporation
ADDvantage Technologies Group ,AEY,addvantage technologies group ,3,addvantage technologies group
ADMA Biologics ,ADMA,adma biologics ,2,adma biologics
ADTRAN ,ADTN,adtran ,1,adtran
AEP Industries ,AEPI,aep industries ,2,aep industries
AEterna Zentaris  (USA),AEZS,aeterna zentaris  (usa),3,aeterna zentaris
AGNC Investment Corp,AGNCP,agnc investment corp,3,agnc investment corp
AGNC Investment Corp,AGNC,agnc investment corp,3,agnc investment corp
AGNC Investment Corp.  Depositary Shares representing 1/1000th Series B Preferred Stock,AGNCB,agnc investment corp.  depositary shares representing 1/1000th series b preferred stock,11,agnc investment corp.
ALJ Regional Holdings ,ALJJ,alj regional holdings ,3,alj regional holdings
AMAG Pharmaceuticals ,AMAG,amag pharmaceuticals ,2,amag pharmaceuticals
AMC Networks ,AMCX,amc networks ,2,amc networks
AMERCO,UHAL,amerco,1,amerco
ANADIGICS ,ANAD,anadigics ,1,anadigics
ANI Pharmaceuticals ,ANIP,ani pharmaceuticals ,2,ani pharmaceuticals
ANSYS ,ANSS,ansys ,1,ansys
API Technologies Corp,ATNY,api technologies corp,3,api technologies corp
ARC Group WorldWide ,ARCW,arc group worldwide ,3,arc group worldwide
ARI Network Services ,ARIS,ari network services ,3,ari network services
ARM Holdings  (ADR),ARMH,arm holdings  (adr),3,arm holdings
ARRIS International ,ARRS,arris international ,2,arris international
ASB Bancorp ,ASBB,asb bancorp ,2,asb bancorp
ASML Holding NV (ADR),ASML,asml holding nv (adr),4,asml holding nv
ASV LLC,ASV,asv llc,2,asv llc
ATA (ADR),ATAI,ata (adr),2,ata (adr)
ATMI  (Inactive),ATMI,atmi  (inactive),2,atmi (inactive)
ATN International ,ATNI,atn international ,2,atn international
AV Homes ,AVHI,av homes ,2,av homes
AVEO Pharmaceuticals ,AVEO,aveo pharmaceuticals ,2,aveo pharmaceuticals
AXT ,AXTI,axt ,1,axt
